岗位名称,公司名称,薪资,所在城市,工作经验,最低薪资,最高薪资,学历,企业性质,公司规模,最高工作经验,省市,平均薪资,公司最低规模,最低工作经验,招聘人数
大数据技术经理,北京东方金信科技股份有限公司,2.5万-3.5万,北京-海淀,5-10年,25000,35000,本科,股份制企业 ,20-99人 ,10,北京,30000,20,5,1
大数据技术经理,北京数聚智联科技有限公司,1.6万-3万,北京-丰台,5-10年,16000,3000,本科,民营 ,10000人以上 ,10,北京,9500,10000,5,0
大数据开发工程师,软通动力信息技术(集团)股份有限公司,1.2万-1.9万,北京-石景山,3-5年,12000,19000,本科,民营 ,100-299人 ,5,北京,15500,100,3,5
大数据项目经理,中远海运科技(北京)有限公司,1.5万-2.4万,北京-朝阳,3-5年,15000,24000,本科,国企 ,20-99人 ,5,北京,19500,20,3,5
大数据实施工程师,北京联诚合创信息技术有限公司,6千-8千,北京-海淀,1-3年,6000,8000,本科,民营 ,500-999人 ,3,北京,7000,500,1,5
NoSQL大数据工程师,共致开源(北京)信息科技有限公司,1.5万-3万,北京,3-5年,15000,3000,本科,民营 ,100-299人 ,5,北京,9000,100,3,1
大数据平台研发工程师（信息技术）,智联猎头,2万-3万,北京-昌平,3-5年,2000,3000,本科,上市公司 ,1000-9999人 ,5,北京,2500,1000,3,1
大数据开发-银行,大连斯锐信息技术有限公司,1.5万-1.9万,北京-海淀,5-10年,15000,19000,本科,民营 ,1000-9999人 ,10,北京,17000,1000,5,1
销售总监/经理（大数据中心/IDC）,万润集团,2万-3.5万,北京,5-10年,2000,35000,大专,民营 ,100-299人 ,10,北京,18500,100,5,2
政务大数据售前工程师,铭台(北京)科技有限公司,1.5万-2.5万,北京-昌平,3-5年,15000,25000,大专,民营 ,20-99人 ,5,北京,20000,20,3,1
高级开发工程师-大数据方向,金航数码科技有限责任公司,1.5万-3万,北京-朝阳,1-3年,15000,3000,本科,国企 ,1000-9999人 ,3,北京,9000,1000,1,1
项目经理（大数据方向）,北京首通智城科技创新有限责任公司,1.5万-3万,北京-通州,5-10年,15000,3000,本科,国企 ,100-299人 ,10,北京,9000,100,5,2
大数据/大数据安全产品总监,长城网际,2万-4万,北京-海淀,5-10年,2000,4000,本科,国企 ,100-299人 ,10,北京,3000,100,5,1
大数据专业产品经理,联想教育科技(北京)有限公司,2万-3.5万,北京-海淀,10年以上,2000,35000,本科,民营 ,100-299人 ,10,北京,18500,100,10,5
大数据运维工程师,Symbio 北京研发中心,1.3万-2.1万,北京-朝阳,3-5年,13000,21000,本科,外商独资 ,1000-9999人 ,5,北京,17000,1000,3,1
卫星大数据销售,北京欧比特控制工程研究院有限公司,1万-1.5万,北京,3-5年,1000,15000,本科,上市公司 ,100-299人 ,5,北京,8000,100,3,4
大数据销售总监（需有大数据中台行业经验，试用期全薪）,北京睿帆知数科技有限公司,2.5万-4.5万,北京-朝阳,5-10年,25000,45000,大专,民营 ,100-299人 ,10,北京,35000,100,5,2
前端开发工程师（国网商用大数据有限公司）,国网数字科技控股有限公司,1.5万-2万,北京-丰台,3-5年,15000,2000,本科,国企 ,1000-9999人 ,5,北京,8500,1000,3,1
大数据运维（高级）2号线朝阳门地铁站,北京朗杰科技有限公司,1.6万-2.5万,北京-朝阳,5-10年,16000,25000,大专,民营 ,500-999人 ,10,北京,20500,500,5,0
23届应届毕业生招聘 --计算机、大数据相关专业,中钢设备有限公司,1.1万-1.5万,北京-海淀,无经验,11000,15000,本科,国企 ,1000-9999人 ,0,北京,13000,1000,0,0
大数据实施工程师（负责金融项目产品实施工作）,北京睿帆知数科技有限公司,1万-1.4万,北京-朝阳,1-3年,1000,14000,本科,民营 ,100-299人 ,3,北京,7500,100,1,1
大数据研发工程师,电视电声研究所(中国电子科技集团公司第三研究所),1万-2万,北京-朝阳,1-3年,1000,2000,硕士,事业单位 ,1000-9999人 ,3,北京,1500,1000,1,2
数据工程/大数据分析咨询顾问（全国）,通力凯顿（北京）系统集成有限公司,2万-4万,北京-朝阳,3-5年,2000,4000,本科,民营 ,100-299人 ,5,北京,3000,100,3,2
大数据高级管理师,中经网,1.8万-2.5万,北京,不限,18000,25000,硕士,国企 ,100-299人 ,20,北京,21500,100,20,1
营销经理（闭式冷却塔）电信大数据中心,秦皇岛莱特流体设备制造有限公司,5千-1万,北京-丰台,5-10年,5000,1000,大专,民营 ,100-299人 ,10,北京,3000,100,5,3
大数据平台产品规划工程师(J19416),金风科技股份有限公司,1.8万-2.5万,北京-大兴,3-5年,18000,25000,本科,股份制企业 ,1000-9999人 ,5,北京,21500,1000,3,1
大数据安全产品总监,长城网际,3万-4万,北京-海淀,5-10年,3000,4000,本科,国企 ,100-299人 ,10,北京,3500,100,5,1
大数据研发工程师-广告,字节跳动,3万-6万,北京,不限,3000,6000,本科,民营 ,10000人以上 ,20,北京,4500,10000,20,5
大数据运维工程师,软通动力信息技术(集团)股份有限公司,1.6万-1.8万,北京-通州,3-5年,16000,18000,大专,民营 ,10000人以上 ,5,北京,17000,10000,3,2
大数据平台开发工程师,北京米优汇鑫信息技术有限公司,1.2万-1.6万,北京-海淀,3-5年,12000,16000,大专,民营 ,300-499人 ,5,北京,14000,300,3,1
2023校招-数据开发工程师 (MJ000632),东方国信,5千-1万,北京-朝阳,无经验,5000,1000,本科,上市公司 ,1000-9999人 ,0,北京,3000,1000,0,30
2023校招-数据分析挖掘工程师 (MJ000703),东方国信,5千-1万,北京-朝阳,无经验,5000,1000,本科,上市公司 ,1000-9999人 ,0,北京,3000,1000,0,20
ETL数据工程师,北京中软融鑫计算机系统工程有限公司,8千-1.4万,北京-海淀,无经验,8000,14000,本科,股份制企业 ,500-999人 ,0,北京,11000,500,0,0
数据工程师,新极技术(北京)有限公司,1.5万-2万,北京-顺义,无经验,15000,2000,本科,民营 ,20-99人 ,0,北京,8500,20,0,0
数据开发,软通动力信息技术(集团)股份有限公司,9千-1.5万,北京-海淀,1-3年,9000,15000,本科,民营 ,10000人以上 ,3,北京,12000,10000,1,1
数据分析岗,北京鸿联九五信息产业有限公司,1.2万-2万,北京-朝阳,1-3年,12000,2000,本科,国企 ,10000人以上 ,3,北京,7000,10000,1,0
数据分析师,中国平安人寿保险股份有限公司北京分公司,1万-1.5万,北京,不限,1000,15000,本科,股份制企业 ,10000人以上 ,20,北京,8000,10000,20,1
ETL数据工程师,中科软,8千-1.5万,北京,1-3年,8000,15000,本科,股份制企业 ,10000人以上 ,3,北京,11500,10000,1,2
数据分析师,博彦科技,1万-1.5万,北京-海淀,1-3年,1000,15000,本科,上市公司 ,10000人以上 ,3,北京,8000,10000,1,1
数据仓库资深开发工程师,字节跳动,5.1万-10万,北京,不限,51000,10000,本科,民营 ,10000人以上 ,20,北京,30500,10000,20,1
数据分析师,中国平安财产保险股份有限公司北京分公司,1万-1.5万,北京-西城,不限,1000,15000,本科,股份制企业 ,1000-9999人 ,20,北京,8000,1000,20,0
数据挖掘工程师,华北计算机系统工程研究所(中国电子信息产业集团有限公司第六研究所),1万-1.5万,北京,1-3年,1000,15000,本科,事业单位 ,1000-9999人 ,3,北京,8000,1000,1,2
数据工程师,东华软件股份公司,1.5万-2万,北京-海淀,1-3年,15000,2000,本科,上市公司 ,1000-9999人 ,3,北京,8500,1000,1,3
数据治理岗,中电太极,1.5万-2.5万,北京-海淀,1-3年,15000,25000,本科,国企 ,1000-9999人 ,3,北京,20000,1000,1,2
数据挖掘工程师,国网数字科技控股有限公司,2.5万-3万,北京-西城,1-3年,25000,3000,本科,国企 ,1000-9999人 ,3,北京,14000,1000,1,1
C/C++/Java/Python/GO/数据/算法/前端开发,外企德科,1.6万-3万,北京-海淀,不限,16000,3000,本科,合资 ,1000-9999人 ,20,北京,9500,1000,20,8
中级数据开发工程师（统本，金融）,法本信息,1.3万-1.6万,北京-顺义,1-3年,13000,16000,本科,上市公司 ,1000-9999人 ,3,北京,14500,1000,1,5
数据分析专员,东方雨虹,1万-1.2万,北京-通州,1-3年,1000,12000,本科,上市公司 ,1000-9999人 ,3,北京,6500,1000,1,1
数据开发工程师22SLH41,中国信息通信研究院,1.5万-2万,北京-海淀,1-3年,15000,2000,本科,事业单位 ,1000-9999人 ,3,北京,8500,1000,1,2
数据与智能研究员（A计划应届生）,航天信息,2万-4万,北京-海淀,无经验,2000,4000,博士,国企 ,1000-9999人 ,0,北京,3000,1000,0,1
数据开发,科锐尔人力资源服务(苏州)有限公司,1.4万-1.5万,北京-顺义,1-3年,14000,15000,本科,上市公司 ,1000-9999人 ,3,北京,14500,1000,1,5
数据智能工程师,兆维集团,1.8万-2万,北京,1-3年,18000,2000,本科,国企 ,1000-9999人 ,3,北京,10000,1000,1,1
数据挖掘岗（23届校招）,卓望信息技术(北京)有限公司,1.1万-1.7万,北京,不限,11000,17000,本科,外商独资 ,1000-9999人 ,20,北京,14000,1000,20,1
数据分析工程师（X3）,中电太极,1.5万-3万,北京,1-3年,15000,3000,本科,国企 ,1000-9999人 ,3,北京,9000,1000,1,1
数据分析师（国网新能源云技术有限公司）,国网数字科技控股有限公司,1万-1.6万,北京-丰台,1-3年,1000,16000,本科,国企 ,1000-9999人 ,3,北京,8500,1000,1,1
数据开发岗（23届校招）,卓望信息技术(北京)有限公司,1.1万-1.7万,北京,不限,11000,17000,本科,外商独资 ,1000-9999人 ,20,北京,14000,1000,20,1
数据开发工程师,北京银丰新融科技开发有限公司,8千-1.6万,北京-朝阳,1-3年,8000,16000,本科,民营 ,1000-9999人 ,3,北京,12000,1000,1,1
数据治理岗,中电太极,1.5万-2万,北京,1-3年,15000,2000,本科,国企 ,1000-9999人 ,3,北京,8500,1000,1,3
数据开发工程师,中科软科技股份有限公司,8千-1.5万,北京-石景山,1-3年,8000,15000,本科,股份制企业 ,1000-9999人 ,3,北京,11500,1000,1,3
数据采集工程师,拓尔思信息技术股份有限公司,9千-1.5万,北京-海淀,1-3年,9000,15000,本科,上市公司 ,1000-9999人 ,3,北京,12000,1000,1,1
Linux嵌入式软件开发工程师（数据采集项目）,北京东土科技股份有限公司,1.8万-3.5万,北京-石景山,不限,18000,35000,本科,民营 ,1000-9999人 ,20,北京,26500,1000,20,6
软件开发（前端、后端、测试、数据开发）,外企德科,1.5万-3万,北京-海淀,不限,15000,3000,本科,合资 ,1000-9999人 ,20,北京,9000,1000,20,10
数据挖掘工程师,北京计算机技术及应用研究所,1万-2万,北京,1-3年,1000,2000,本科,事业单位 ,1000-9999人 ,3,北京,1500,1000,1,2
数据工程师（主数据）,国网信通亿力科技有限责任公司,1.1万-2万,北京-西城,1-3年,11000,2000,本科,国企 ,1000-9999人 ,3,北京,6500,1000,1,1
数据工程师（创新中心）,中电太极,1.5万-3万,北京,1-3年,15000,3000,本科,国企 ,1000-9999人 ,3,北京,9000,1000,1,1
商业数据分析师,新浪网,1万-2万,北京-朝阳,1-3年,1000,2000,本科,外商独资 ,1000-9999人 ,3,北京,1500,1000,1,1
数据质量主管,华熙生物,1.5万-2万,北京,1-3年,15000,2000,本科,上市公司 ,1000-9999人 ,3,北京,8500,1000,1,1
数据开发工程师,中科软科技股份有限公司,1.2万-2万,北京-朝阳,不限,12000,2000,本科,股份制企业 ,1000-9999人 ,20,北京,7000,1000,20,6
总公司信息技术部数据管理岗,天安人寿保险股份有限公司,1.1万-2.1万,北京,1-3年,11000,21000,本科,股份制企业 ,1000-9999人 ,3,北京,16000,1000,1,2
Java开发工程师（数据中心）,拓尔思信息技术股份有限公司,9千-1.4万,北京-海淀,1-3年,9000,14000,本科,上市公司 ,1000-9999人 ,3,北京,11500,1000,1,1
爬虫数据采集工程师,拓尔思信息技术股份有限公司,8千-1.6万,北京-海淀,1-3年,8000,16000,本科,上市公司 ,1000-9999人 ,3,北京,12000,1000,1,2
数据分析专员,北京银信长远科技股份有限公司,1万-1.3万,北京,1-3年,1000,13000,本科,上市公司 ,1000-9999人 ,3,北京,7000,1000,1,1
需求分析师（etl数据方向）,北京银河创想信息技术有限公司,8千-1.3万,北京-丰台,1-3年,8000,13000,本科,股份制企业 ,500-999人 ,3,北京,10500,500,1,1
安全数据开发工程师,北京恒昌利通投资管理有限公司,1.5万-3万,北京-朝阳,1-3年,15000,3000,本科,民营 ,500-999人 ,3,北京,9000,500,1,1
数据分析岗,银清科技有限公司,1万-1.5万,北京-海淀,不限,1000,15000,本科,国企 ,500-999人 ,20,北京,8000,500,20,1
数据开发工程师,佰聆数据股份有限公司,8千-1万,北京-西城,1-3年,8000,1000,本科,民营 ,500-999人 ,3,北京,4500,500,1,0
数据开发工程师,北京益生康健商贸有限公司,8千-1.5万,北京-海淀,1-3年,8000,15000,本科,上市公司 ,500-999人 ,3,北京,11500,500,1,0
数据分析师,佰聆数据股份有限公司,1万-1.5万,北京-西城,1-3年,1000,15000,本科,民营 ,500-999人 ,3,北京,8000,500,1,0
数据平台产品研发高级工程师（数据治理方向）,国能信控互联技术有限公司,7千-1.4万,北京-西城,1-3年,7000,14000,本科,国企 ,500-999人 ,3,北京,10500,500,1,1
数据分析师,北京炎黄新星网络科技有限公司,8千-1万,北京-海淀,1年以下,8000,1000,本科,合资 ,500-999人 ,1,北京,4500,500,1,1
数据研究,北京航天情报与信息研究所,1.2万-1.5万,北京,1-3年,12000,15000,本科,事业单位 ,500-999人 ,3,北京,13500,500,1,1
python数据分析师,北京志翔科技股份有限公司,1.5万-2万,北京-海淀,1-3年,15000,2000,本科,股份制企业 ,500-999人 ,3,北京,8500,500,1,1
软件开发工程师（评估数据研究部）,北京大数据先进技术研究院,1.8万-2.2万,北京-海淀,1-3年,18000,22000,本科,事业单位 ,100-299人 ,3,北京,20000,100,1,2
ETL数据开发工程师,翰竺科技(北京)有限公司,2万-4万,北京-西城,不限,2000,4000,大专,外商独资 ,100-299人 ,20,北京,3000,100,20,0
数据管道开发工程师（项目部）,北京大数据先进技术研究院,1.5万-3万,北京-海淀,1-3年,15000,3000,本科,事业单位 ,100-299人 ,3,北京,9000,100,1,2
数据建模分析师（高级、中级）,全国海关信息中心,1万-1.8万,北京,不限,1000,18000,本科,事业单位 ,100-299人 ,20,北京,9500,100,20,2
数据开发工程师,上海儒一信息科技有限公司,1万-2万,北京-昌平,1-3年,1000,2000,本科,民营 ,100-299人 ,3,北京,1500,100,1,5
数据挖掘工程师,北京中科博联科技集团有限公司,1.5万-2.5万,北京-海淀,1-3年,15000,25000,大专,股份制企业 ,100-299人 ,3,北京,20000,100,1,2
数据服务开发工程师（项目部）,北京大数据先进技术研究院,1.5万-3万,北京-海淀,1-3年,15000,3000,本科,事业单位 ,100-299人 ,3,北京,9000,100,1,1
数据产品研发工程师,北京汉正天成科技有限公司,8千-1.3万,北京-大兴,1-3年,8000,13000,大专,民营 ,100-299人 ,3,北京,10500,100,1,3
安卓开发工程师（评估数据研究部）,北京大数据先进技术研究院,2.2万-2.5万,北京-海淀,1-3年,22000,25000,本科,事业单位 ,100-299人 ,3,北京,23500,100,1,1
临床试验数据管理员,北京裕荣医学数据科技有限公司,9千-1.5万,北京-朝阳,不限,9000,15000,本科,民营 ,100-299人 ,20,北京,12000,100,20,5
数据架构师（数据中台或 CDP建设经验,北京商才科技有限公司,4万-5万,北京-海淀,不限,4000,5000,本科,民营 ,100-299人 ,20,北京,4500,100,20,0
R语言数据工程师,北京金之盾信息技术有限公司,1.2万-1.8万,北京-海淀,1-3年,12000,18000,大专,股份制企业 ,100-299人 ,3,北京,15000,100,1,1
数据标准工程师,应急管理部信息研究院(煤炭信息研究院),1万-2万,北京-朝阳,1-3年,1000,2000,本科,事业单位 ,100-299人 ,3,北京,1500,100,1,1
数据挖掘工程师（项目部）,北京大数据先进技术研究院,1.5万-3万,北京-海淀,1-3年,15000,3000,本科,事业单位 ,100-299人 ,3,北京,9000,100,1,1
GIS数据处理工程师,中兆恒基(北京)工程管理有限公司,6千-1.2万,北京,不限,6000,12000,大专,民营 ,100-299人 ,20,北京,9000,100,20,10
数据平台开发工程师,北京华能新锐控制技术有限公司,1.5万-2.5万,北京-昌平,1-3年,15000,25000,本科,国企 ,100-299人 ,3,北京,20000,100,1,2
数据开发工程师,钧鎏电子商务,9千-1.4万,北京-大兴,1-3年,9000,14000,本科,民营 ,100-299人 ,3,北京,11500,100,1,10
数据开发工程师,钧鎏电子商务,9千-1.4万,北京-大兴,1-3年,9000,14000,本科,民营 ,100-299人 ,3,北京,11500,100,1,10
数据运维与应用工程师/DBA,交科院科技集团有限公司,8千-1.5万,北京-朝阳,1-3年,8000,15000,本科,国企 ,100-299人 ,3,北京,11500,100,1,1
数据分析师（建模方向）,北京新联财通咨询有限公司,1.2万-2万,北京-东城,不限,12000,2000,本科,民营 ,100-299人 ,20,北京,7000,100,20,1
数据采集工程师,中经网,6千-1万,北京,不限,6000,1000,本科,国企 ,100-299人 ,20,北京,3500,100,20,1
城市数据咨询师,北京城市象限科技有限公司,1万-1.5万,北京-东城,1-3年,1000,15000,本科,民营 ,20-99人 ,3,北京,8000,20,1,0
数据仓库工程师,北京知进力科技有限公司,1.8万-2.6万,北京-西城,1-3年,18000,26000,本科,民营 ,20-99人 ,3,北京,22000,20,1,1
商业数据分析,北京慰鑫科技有限公司,9千-1.5万,北京-朝阳,不限,9000,15000,大专,民营 ,20-99人 ,20,北京,12000,20,20,0
数据统计分析,北京多耀商贸有限公司,6千-8千,北京-海淀,不限,6000,8000,大专,民营 ,20-99人 ,20,北京,7000,20,20,6
ETL数据工程师,辽宁鑫锡软件有限公司,8千-1.4万,北京-大兴,1-3年,8000,14000,本科,其它 ,20-99人 ,3,北京,11000,20,1,1
数据分析工程师,北京一研科技有限公司,1.3万-1.6万,北京-东城,1-3年,13000,16000,本科,合资 ,20-99人 ,3,北京,14500,20,1,1
智能驾驶数据开发工程师,成都有才有位企业管理咨询有限公司,1.8万-3万,北京-海淀,不限,18000,3000,本科,民营 ,20-99人 ,20,北京,10500,20,20,1
医学数据分析师-0001,上海中智人才顾问咨询有限公司,1万-1.5万,北京-朝阳,1-3年,1000,15000,本科,国企 ,20-99人 ,3,北京,8000,20,1,0
商业数据分析,北京慰鑫科技有限公司,9千-1.5万,北京-西城,不限,9000,15000,大专,民营 ,20-99人 ,20,北京,12000,20,20,5
数据工程师,北京金信网银金融信息服务有限公司,6千-1.2万,北京-海淀,1-3年,6000,12000,本科,民营 ,20-99人 ,3,北京,9000,20,1,1
商业数据分析,北京慰鑫科技有限公司,9千-1.5万,北京-石景山,不限,9000,15000,大专,民营 ,20-99人 ,20,北京,12000,20,20,5
数据分析师,天津德尔塔科技有限公司,9千-1.5万,北京-海淀,1-3年,9000,15000,本科,民营 ,20-99人 ,3,北京,12000,20,1,1
安全数据分析工程师,北京华清信安科技有限公司,1.2万-1.8万,北京-朝阳,1-3年,12000,18000,本科,民营 ,20-99人 ,3,北京,15000,20,1,1
数据统计分析,北京中京翼科技有限公司,8千-1.2万,北京-东城,不限,8000,12000,大专,民营 ,20-99人 ,20,北京,10000,20,20,6
软件工程师-云服务数据方向,一汽(北京)软件科技有限公司,2.5万-5万,北京-朝阳,1-3年,25000,5000,本科,国企 ,20-99人 ,3,北京,15000,20,1,1
数据挖掘工程师,悦优博迈,1.2万-2万,北京,不限,12000,2000,本科,民营 ,20-99人 ,20,北京,7000,20,20,1
数据分析师,天津德尔塔科技有限公司,6千-1.2万,北京,不限,6000,12000,本科,民营 ,20-99人 ,20,北京,9000,20,20,10
数据分析师,中科知道(北京)科技有限公司,1.5万-2.5万,北京-海淀,1-3年,15000,25000,本科,合资 ,20-99人 ,3,北京,20000,20,1,1
数据治理咨询顾问,北京恒通慧源大数据技术有限公司,2.5万-4万,北京-西城,1-3年,25000,4000,本科,民营 ,20-99人 ,3,北京,14500,20,1,0
数据平台工程师（国企正编）,北京君联天纵科技有限公司,9千-1.4万,北京-石景山,1-3年,9000,14000,本科,国企 ,20-99人 ,3,北京,11500,20,1,2
数据分析员,北京郡县大全地理标志信息科技有限公司,8千-1.3万,北京,不限,8000,13000,本科,民营 ,20人以下 ,20,北京,10500,20,20,5
数据分析师,国网计量中心有限公司,1.2万-1.7万,北京,1-3年,12000,17000,本科,国企 ,300-499人 ,3,北京,14500,300,1,3
数据挖掘,北京米优汇鑫信息技术有限公司,1.5万-2.2万,北京,1-3年,15000,22000,本科,民营 ,300-499人 ,3,北京,18500,300,1,1
总公司数据挖掘岗 (009135),华泰保险集团股份有限公司,1万-1.5万,北京-西城,无经验,1000,15000,硕士,合资 ,1000-9999人 ,0,北京,8000,1000,0,1
数据分析工程师（应届生）,中电科太力通信科技有限公司,8千-1万,北京-海淀,无经验,8000,1000,硕士,国企 ,1000-9999人 ,0,北京,4500,1000,0,0
数据产品工程师,中国航天系统科学与工程研究院,1.8万-3万,北京-西城,不限,18000,3000,博士,事业单位 ,500-999人 ,20,北京,10500,500,20,1
博士后研究员（数据科学/自然语言）,北京百分点科技集团股份有限公司,2万-3.5万,北京-海淀,不限,2000,35000,博士,民营 ,500-999人 ,20,北京,18500,500,20,1
数据仓库工程师,有谦软联(北京)信息技术有限公司,1.5万-1.8万,北京-西城,3-5年,15000,18000,大专,民营 ,100-299人 ,5,北京,16500,100,3,1
数据处理工程师,北京中逸茂业工程造价咨询有限公司,8千-1.2万,北京-西城,3-5年,8000,12000,大专,民营 ,20-99人 ,5,北京,10000,20,3,0
数据仓库工程师,北京业通信息技术有限公司,1万-2万,北京-朝阳,不限,1000,2000,学历不限,民营 ,20-99人 ,20,北京,1500,20,20,3
数据分析工程师,南京绿和信息技术有限公司,1.2万-1.8万,北京-西城,不限,12000,18000,学历不限,民营 ,20-99人 ,20,北京,15000,20,20,1
数据治理,辰希科技,1.5万-2.7万,北京-西城,5-10年,15000,27000,本科,民营 ,20-99人 ,10,北京,21000,20,5,2
数据分析工程师 （算法开发）（校招）,北京中电飞华通信有限公司,9千-1.3万,北京-丰台,不限,9000,13000,硕士,国企 ,1000-9999人 ,20,北京,11000,1000,20,1
数据要素研究员23SYD68,中国信息通信研究院,1.5万-2万,北京-海淀,不限,15000,2000,硕士,事业单位 ,1000-9999人 ,20,北京,8500,1000,20,3
数据开发岗,智联猎头,1.8万-2.5万,北京-丰台,1-3年,18000,25000,硕士,上市公司 ,1000-9999人 ,3,北京,21500,1000,1,1
（北京校招）数据工程师(J11062),中电太极,1.1万-1.3万,北京-海淀,不限,11000,13000,硕士,国企 ,1000-9999人 ,20,北京,12000,1000,20,15
数据应用技术产业研究员23SYD57,中国信息通信研究院,1.8万-2.1万,北京-海淀,1-3年,18000,21000,硕士,事业单位 ,1000-9999人 ,3,北京,19500,1000,1,1
数据标准岗,银清科技有限公司,1.1万-1.8万,北京-海淀,不限,11000,18000,硕士,国企 ,500-999人 ,20,北京,14500,500,20,1
数据分析工程师,中国航天系统科学与工程研究院,1.5万-2万,北京-西城,不限,15000,2000,硕士,事业单位 ,500-999人 ,20,北京,8500,500,20,1
实习生（数据分析师）,北京天亿弘方投资管理有限公司,2千-3千,北京,不限,2000,3000,硕士,上市公司 ,100-299人 ,20,北京,2500,100,20,1
高级数据挖掘工程师,深圳市拓普明途企业管理咨询有限公司,4万-6万,北京-朝阳,不限,4000,6000,硕士,民营 ,20-99人 ,20,北京,5000,20,20,1
数据分析师,北京赛宝工业技术研究院有限公司,8千-1.5万,北京-石景山,不限,8000,15000,硕士,国企 ,20-99人 ,20,北京,11500,20,20,5
数据开发分析岗,工业和信息化部装备工业发展中心,1万-2万,北京,不限,1000,2000,硕士,事业单位 ,20-99人 ,20,北京,1500,20,20,2
数据分析师（北京）,北京瑞尼尔技术有限公司,1.1万-2万,北京-海淀,不限,11000,2000,硕士,民营 ,20-99人 ,20,北京,6500,20,20,2
数据分析岗,国药联众致远(北京)医疗器械有限公司,8千-1万,北京-海淀,1-3年,8000,1000,硕士,其它 ,20-99人 ,3,北京,4500,20,1,1
数据分析师,航科院中宇(北京)新技术发展有限公司,9千-1.5万,北京-顺义,1-3年,9000,15000,硕士,国企 ,20-99人 ,3,北京,12000,20,1,1
航空安全数据分析工程师,航科院中宇(北京)新技术发展有限公司,1.1万-1.7万,北京-顺义,不限,11000,17000,硕士,国企 ,20-99人 ,20,北京,14000,20,20,1
数据工程,上海文谛资产管理有限公司,1.5万-1.8万,北京-朝阳,不限,15000,18000,硕士,民营 ,20-99人 ,20,北京,16500,20,20,1
数据采集及硬件开发工程师,北京烁科中科信电子装备有限公司,1.6万-3万,北京-通州,1-3年,16000,3000,硕士,国企 ,300-499人 ,3,北京,9500,300,1,5
数据分析师,京北方,1.5万-1.8万,北京-朝阳,3-5年,15000,18000,本科,民营 ,10000人以上 ,5,北京,16500,10000,3,1
数据仓库工程师,京北方,1.1万-1.9万,北京-朝阳,5-10年,11000,19000,大专,民营 ,10000人以上 ,10,北京,15000,10000,5,1
数据分析岗,北京鸿联九五信息产业有限公司,1.2万-2万,北京,3-5年,12000,2000,本科,国企 ,10000人以上 ,5,北京,7000,10000,3,1
集团数据中心总监（职位编号：LZHR190）,朗致集团,2万-3万,北京-大兴,5-10年,2000,3000,本科,民营 ,10000人以上 ,10,北京,2500,10000,5,1
数据治理,中电金信软件有限公司,2.2万-3万,北京-海淀,5-10年,22000,3000,本科,国企 ,10000人以上 ,10,北京,12500,10000,5,1
数据仓库模型设计,中电金信软件有限公司,1.5万-2万,北京-丰台,3-5年,15000,2000,本科,国企 ,10000人以上 ,5,北京,8500,10000,3,0
数据治理主管(J12064),通用技术集团国际控股有限公司,1.6万-2.1万,北京-丰台,5-10年,16000,21000,本科,国企 ,10000人以上 ,10,北京,18500,10000,5,999
行政管理（数据分析）,华润雪花,1.5万-2万,北京-东城,3-5年,15000,2000,本科,国企 ,10000人以上 ,5,北京,8500,10000,3,1
百度数据挖掘工程师,软通动力信息技术(集团)股份有限公司,1.5万-2万,北京-海淀,3-5年,15000,2000,本科,民营 ,10000人以上 ,5,北京,8500,10000,3,2
ETL数据开发工程师,IBM,2万-4万,北京-海淀,5-10年,2000,4000,本科,外商独资 ,10000人以上 ,10,北京,3000,10000,5,1
数据开发组长（金融银行项目）,北京神州数字科技有限公司,1.8万-2.8万,北京-朝阳,5-10年,18000,28000,本科,上市公司 ,10000人以上 ,10,北京,23000,10000,5,2
数据开发工程师,软通动力信息技术(集团)股份有限公司,1.5万-2.5万,北京-朝阳,5-10年,15000,25000,大专,民营 ,10000人以上 ,10,北京,20000,10000,5,0
数据分析师,软通动力信息技术(集团)股份有限公司,9千-1.7万,北京-丰台,5-10年,9000,17000,本科,民营 ,10000人以上 ,10,北京,13000,10000,5,7
数据管理与分析岗,中国生物,1万-2万,北京-朝阳,3-5年,1000,2000,本科,国企 ,10000人以上 ,5,北京,1500,10000,3,1
数据运营(集团急聘）,北京五八信息技术有限公司,1.1万-1.5万,北京-朝阳,3-5年,11000,15000,本科,合资 ,10000人以上 ,5,北京,13000,10000,3,2
数据建模工程师,博彦科技,1.8万-2.3万,北京-朝阳,3-5年,18000,23000,本科,上市公司 ,10000人以上 ,5,北京,20500,10000,3,5
数据科学家-非外派-外企项目-英语流利,软通动力信息技术(集团)股份有限公司,3万-3.5万,北京-海淀,3-5年,3000,35000,本科,民营 ,10000人以上 ,5,北京,19000,10000,3,1
数据开发工程师,哈里伯顿(中国)能源服务有限公司,1.5万-2.5万,北京-朝阳,3-5年,15000,25000,本科,外商独资 ,10000人以上 ,5,北京,20000,10000,3,1
中国纺织-数据架构师,中粮集团,2.5万-3万,北京-东城,5-10年,25000,3000,本科,国企 ,10000人以上 ,10,北京,14000,10000,5,1
ETL数据开发工程师,软通动力信息技术(集团)股份有限公司,1.3万-1.8万,北京-顺义,3-5年,13000,18000,本科,民营 ,10000人以上 ,5,北京,15500,10000,3,5
总行数据管理部-高级数据架构师,智联猎头,5万-8万,北京-顺义,5-10年,5000,8000,本科,上市公司 ,1000-9999人 ,10,北京,6500,1000,5,1
