岗位名称,公司名称,薪资,所在城市,工作经验,最低薪资,最高薪资,学历,企业性质,公司规模,最高工作经验,省市,平均薪资,公司最低规模,最低工作经验,招聘人数
业务分析工程师,宜通华瑞,9千-1.4万,呼和浩特-玉泉,5-10年,9000,14000,大专,民营 ,20人以下 ,10,内蒙古,11500,20,5,8
财务数据分析师,深圳市亿生新信息科技有限公司,6千-8千,呼和浩特-赛罕,不限,6000,8000,大专,民营 ,100-299人 ,20,内蒙古,7000,100,20,6
数据分析工程师(J12142),天津中环新能源有限公司,8千-1.5万,呼和浩特-赛罕,5-10年,8000,15000,本科,上市公司 ,100-299人 ,10,内蒙古,11500,100,5,1
数学模型工程师,内蒙古东润能源科技有限公司,5千-8千,呼和浩特-赛罕,1-3年,5000,8000,本科,民营 ,20人以下 ,3,内蒙古,6500,20,1,3
软件数据分析师,深圳市亿生新信息科技有限公司,6千-8千,呼和浩特-新城,不限,6000,8000,大专,民营 ,100-299人 ,20,内蒙古,7000,100,20,6
数据专员,内蒙古美窝装饰工程有限公司,3千-5千,呼和浩特,1-3年,3000,5000,大专,股份制企业 ,100-299人 ,3,内蒙古,4000,100,1,1
开发工程师,内蒙古东润能源科技有限公司,6千-1万,呼和浩特-赛罕,1-3年,6000,1000,本科,民营 ,20人以下 ,3,内蒙古,3500,20,1,2
财务数据分析师,深圳市亿生新信息科技有限公司,6千-8千,呼和浩特-赛罕,不限,6000,8000,大专,民营 ,1000-9999人 ,20,内蒙古,7000,1000,20,6
数据/活动运营专员,拼多多,5千-7千,呼和浩特-赛罕,不限,5000,7000,本科,民营 ,500-999人 ,20,内蒙古,6000,500,20,1
初级数据工程师,隆基绿能科技股份有限公司,6千-8千,鄂尔多斯-伊金霍洛旗,1-3年,6000,8000,本科,股份制企业 ,500-999人 ,3,内蒙古,7000,500,1,1
大数据开发工程师,北京联海创智信息科技有限公司宁夏分公司,8千-1万,银川-金凤区,3-5年,8000,1000,学历不限,国企 ,20-99人 ,5,宁夏,4500,20,3,3
大数据开发工程师,南京星邺汇捷网络科技有限公司,9千-1.5万,银川-金凤区,3-5年,9000,15000,本科,民营 ,100-299人 ,5,宁夏,12000,100,3,1
大数据工程师,宁夏银洲信息技术有限公司,8千-1万,银川-兴庆区,1-3年,8000,1000,大专,民营 ,20-99人 ,3,宁夏,4500,20,1,10
大数据信息中心业务培训生,宁夏丝路通信息咨询服务有限公司,3千-6千,银川,不限,3000,6000,大专,民营 ,100-299人 ,20,宁夏,4500,100,20,10
数据治理岗,贝利特化学股份有限公司,8千-1.5万,石嘴山,1-3年,8000,15000,本科,股份制企业 ,1000-9999人 ,3,宁夏,11500,1000,1,1
数据分析师,宁夏世纪信通信息安全有限公司,3千-6千,银川-金凤区,1-3年,3000,6000,本科,民营 ,100-299人 ,3,宁夏,4500,100,1,1
高级数据开发工程师,宁夏天盟实业集团有限公司,7千-9千,银川-金凤区,1-3年,7000,9000,本科,民营 ,20-99人 ,3,宁夏,8000,20,1,1
数据管理岗,银川建发集团股份有限公司,1万-1.5万,银川,3-5年,1000,15000,本科,民营 ,1000-9999人 ,5,宁夏,8000,1000,3,1
大数据软件销售经理,内蒙古数智源科技有限公司,8千-1.5万,银川-兴庆区,1-3年,8000,15000,大专,民营 ,100-299人 ,3,宁夏,11500,100,1,5
软件销售-可接受应届生-大数据/舆情,北京智慧星光信息技术有限公司,6千-1万,银川-兴庆区,不限,6000,1000,大专,民营 ,1000-9999人 ,20,宁夏,3500,1000,20,1
数据分析高级工程师,新大陆软件,1.1万-1.5万,银川-金凤区,5-10年,11000,15000,本科,民营 ,1000-9999人 ,10,宁夏,13000,1000,5,2
ETL工程师,天阳科技,8千-1.3万,银川-金凤区,3-5年,8000,13000,本科,上市公司 ,1000-9999人 ,5,宁夏,10500,1000,3,3
智能拉晶工程师（数据分析方向）,宁夏中环光伏材料有限公司,7千-1.3万,银川-西夏区,3-5年,7000,13000,本科,民营 ,1000-9999人 ,5,宁夏,10000,1000,3,1
数据运营岗,无锡拓炎汽车服务有限公司,6千-1.2万,银川-贺兰县,不限,6000,12000,大专,民营 ,1000-9999人 ,20,宁夏,9000,1000,20,1
数据运营部经理(J11730),宁夏伊品生物科技股份有限公司,1.5万-3万,银川-永宁县,3-5年,15000,3000,本科,股份制企业 ,10000人以上 ,5,宁夏,9000,10000,3,1
数据分析师（银川）,北京清软创新科技股份有限公司,1.1万-1.6万,银川-兴庆区,1-3年,11000,16000,本科,股份制企业 ,1000-9999人 ,3,宁夏,13500,1000,1,1
数据岗,中国平安财产保险股份有限公司宁夏分公司,5千-7千,银川,1-3年,5000,7000,本科,股份制企业 ,1000-9999人 ,3,宁夏,6000,1000,1,1
报表开发工程师(J11816),宁夏中环光伏材料有限公司,6千-8千,银川-西夏区,1-3年,6000,8000,本科,民营 ,1000-9999人 ,3,宁夏,7000,1000,1,2
数据分析初级工程师,新大陆软件,5千-8千,银川-金凤区,1-3年,5000,8000,本科,民营 ,10000人以上 ,3,宁夏,6500,10000,1,6
经营分析主管,宁夏宝丰集团有限公司,1万-1.8万,银川-兴庆区,5-10年,1000,18000,本科,民营 ,20-99人 ,10,宁夏,9500,20,5,1
数据工程师,北京精博新图科技有限公司,1万-1.5万,银川-金凤区,1-3年,1000,15000,本科,民营 ,1000-9999人 ,3,宁夏,8000,1000,1,1
数据分析中级工程师,新大陆软件,8千-1.1万,银川-金凤区,3-5年,8000,11000,本科,民营 ,10000人以上 ,5,宁夏,9500,10000,3,5
竞品分析工程师,宁夏宝丰集团有限公司,1.2万-2.4万,银川-兴庆区,3-5年,12000,24000,大专,民营 ,10000人以上 ,5,宁夏,18000,10000,3,1
大数据分析师（实习生）,京城宏图(北京)科技有限公司,6千-8千,银川-金凤区,不限,6000,8000,大专,民营 ,20-99人 ,20,宁夏,7000,20,20,6
大数据开发工程师,北京联海创智信息科技有限公司宁夏分公司,8千-1万,银川-金凤区,3-5年,8000,1000,学历不限,国企 ,20-99人 ,5,宁夏,4500,20,3,3
大数据开发工程师,南京星邺汇捷网络科技有限公司,9千-1.5万,银川-金凤区,3-5年,9000,15000,本科,民营 ,100-299人 ,5,宁夏,12000,100,3,1
